dSquad,homeGoals,awayGoals,matchSeed,homeDelta,awayDelta,homeBaseClubId,awayBaseClubId
1.1788845,1,1,13088173252781624687,0,-1,0,1
0.9589453,1,1,16005847086123263356,0,-1,1,2
0.7683296,0,1,14752915285788791458,0,-1,2,3
1.29912,0,0,18343984310962207059,0,-1,3,4
0.9149561,2,5,2137637714530166052,0,-1,4,5
0.87976646,3,1,15970959995124998755,0,-1,5,0
1.1378298,0,2,14958552797233526361,0,-1,0,2
0.72727394,0,1,7940322699384288582,0,-1,1,3
1.0674496,3,1,5946503874481836398,0,-1,2,4
1.2140751,4,1,905617874941300280,0,-1,3,5
0.79472256,1,0,501777624010262980,0,-1,4,0
1.058651,3,2,4595135439917845183,0,-1,5,1
0.90615845,1,1,9299389357951610591,0,-1,0,3
1.0263939,2,0,7979469676457171159,0,-1,1,4
0.9824047,1,0,2537540430871813052,0,-1,2,5
1.0938416,5,0,3090131051270774995,0,-1,3,0
0.97360706,0,0,14860943118944484698,0,-1,4,1
1.0175962,0,2,2197784541307656130,0,-1,5,2
2.1788855,1,2,11855547452993862402,1,-1,0,1
1.9589453,3,0,645720919539010855,1,-1,1,2
1.7683296,3,2,13274941791999609273,1,-1,2,3
2.29912,5,2,15164695694080733319,1,-1,3,4
1.9149561,1,0,10274394140631550856,1,-1,4,5
1.8797665,1,1,13839305124172481673,1,-1,5,0
2.1378307,4,1,2395159686587271405,1,-1,0,2
1.727274,1,2,167192597364503529,1,-1,1,3
2.0674496,3,1,12448531412847512165,1,-1,2,4
2.214075,3,1,8704051493979427116,1,-1,3,5
1.7947226,2,2,15429839835232853193,1,-1,4,0
2.058651,1,0,7963029432138165841,1,-1,5,1
1.9061594,5,3,8220644257366662144,1,-1,0,3
2.026394,0,0,10823682830110725162,1,-1,1,4
1.9824047,7,1,1977858396263134972,1,-1,2,5
2.0938416,6,0,3031829177109081676,1,-1,3,0
1.9736071,6,1,11982782424472724420,1,-1,4,1
2.0175962,1,2,521983123810886175,1,-1,5,2
3.1788855,1,0,1942140344194975483,1,-2,0,1
2.9589453,0,0,16432821935646238340,1,-2,1,2
2.7683296,0,0,12130275478655427248,1,-2,2,3
3.29912,7,0,2474988153170670808,1,-2,3,4
2.914956,5,1,2002528395311977717,1,-2,4,5
2.8797665,0,0,10316979343167998636,1,-2,5,0
3.1378307,3,2,15978111700593845547,1,-2,0,2
2.727274,0,0,3364371864832509185,1,-2,1,3
3.0674496,4,1,3464413172774997555,1,-2,2,4
3.214075,5,0,6117323277439865576,1,-2,3,5
2.7947226,5,0,3461089326419113098,1,-2,4,0
3.058651,2,0,14642300398558771417,1,-2,5,1
2.9061594,0,0,3461941616439492301,1,-2,0,3
3.026394,4,0,11952892379309800861,1,-2,1,4
2.9824047,4,2,12475167148724654803,1,-2,2,5
3.0938416,2,0,2884266225794704160,1,-2,3,0
2.973607,0,0,9471607160781303207,1,-2,4,1
3.0175962,1,3,9844577264892803067,1,-2,5,2
