scope	test_name	outcome	multiplicity
coverage	AChangedAssemblyName_ChangesTheHash	Passed	1
coverage	AChangedModuleVersionId_ChangesTheHash	Passed	1
coverage	AControlledCarrierIsActuallyDispossessed	Passed	1
coverage	ACrossClubDuplicatePlayerId_IsRefusedAtEveryIdEntryPoint	Passed	1
coverage	ADegenerateHeight_PutsTheBallOnTheGroundRatherThanNowhere	Passed	1
coverage	ADegenerateTarget_AimsAtTheCentreSpot	Passed	1
coverage	AFailingObserver_IsDisarmedAndLatched_NotFatalToTheMatch	Passed	1
coverage	AFixtureDisciplineDriverWithoutATally_IsRefusedAtComposition	Passed	1
coverage	AFrameResolvesToLiveOrFullTimeByItsMatchEndedFlag	Passed	1
coverage	AFramelessStreamerIsNotReadAsARunningMatch	Passed	1
coverage	AGoalkeeperSubstitution_MovesTheFrameCue_WhileTheBootAccessorGoesStale	Passed	1
coverage	AGroundedBall_SitsOnItsOwnShadow	Passed	1
coverage	ALongGap_ShiftsEverythingOut_WithoutOverflow	Passed	1
coverage	ALooseBall_RingsNobody	Passed	1
coverage	AMatchOpensAtRealTime	Passed	1
coverage	AMidMatchSave_RestoresTheElevenThatActuallyPlayed	Passed	1
coverage	AMidMatchSave_WithASuspendedStarter_RestoresTheElevenThatActuallyPlayed	Passed	1
coverage	ANewBanEarnedThisFixtureIsNotServedByThisSameFixture	Passed	1
coverage	ANoArgumentRoundPlay_OnALoopThatOwnsNoProvider_FailsLoud	Passed	1
coverage	ANonFiniteAgentPosition_IsRefused_RatherThanDrawn	Passed	1
coverage	ANonFiniteBallGroundPosition_IsRefused	Passed	1
coverage	ANullOrInvalidTeamId_IsRefused	Passed	2
coverage	AOneMatchBan_CostsExactlyTheNextFixtureAndNoMore	Passed	1
coverage	APlayedRound_RecordsExactlyTheFieldedEleven_ForBothClubsOfEveryFixture	Passed	1
coverage	AProgressionStoreWithNoCareer_CanPlayARound_AndRefusesAForeignProvider	Passed	1
coverage	AProgressionStoreWithNoCareer_DrivesSlot1_OnTheNeutralBatch	Passed	1
coverage	AProgressionStoreWithNoCareer_SavesAndReloadsAndResumes	Passed	1
coverage	AProgressionWiredLoop_CanPlayARound_ThroughItsOwnProvider	Passed	1
coverage	AR1L1_GetOrCreateEdgeWithConflictingMask_FailsLoud	Passed	1
coverage	AR1L1_SpawnTickLifetimeOverflow_FailsLoud	Passed	1
coverage	AR1L2_InsertEdgeWithActiveLayerEscaping01_FailsLoud	Passed	1
coverage	AR1L3_ColdStoreAddIncoherentSummary_FailsLoud	Passed	1
coverage	AR1M1_MutatingCallerPinArrayAfterSpawn_DoesNotDesyncResolve	Passed	1
coverage	AR1M1_RefCountedPin_StaysExemptUntilLastArcUnpins	Passed	1
coverage	AR1M2_PromotionMaskConflict_FailsLoud_WithoutStrandingTheSummary	Passed	1
coverage	AR1M2_RemoveEdgeWithArcPinnedEpisode_FailsLoud	Passed	1
coverage	AR2L1_InsertEdgeIncoherentEpisodeIds_FailLoud	Passed	1
coverage	AR2L2_NonFiniteEpisodeSalience_FailsLoudAtBothSeams	Passed	1
coverage	AR2M1_ColdStoreAdd_RefusesUndefinedActiveLayersMaskBit	Passed	1
coverage	AR2M1_OutOfRosterLayerAndUndefinedMaskBits_FailLoud	Passed	1
coverage	AR2M1_RecordInteraction_SelfContact_FailsLoud_BeforeAnyTake	Passed	1
coverage	ARealEngineFixtureFoldsItsCardsOntoPlayerRecordsAndChangesNothingElse	Passed	1
coverage	ARecordingThrow_LeavesTheFixtureUnplayed_SoTheRoundIsRetryable	Passed	1
coverage	ARefusedFrame_LeavesTheDestinationUntouched_NotHalfWritten	Passed	1
coverage	ARunningMatchOffersEverything	Passed	1
coverage	ASeasonRollThatClearsEveryYellow_LeavesTheCareerSaveable	Passed	1
coverage	ASuspendedAndAnInjuredPlayerAreBothRemoved	Passed	1
coverage	ASuspendedPlayerPressedInByTheExtremisBackFill_IsExemptFromServing_WhileAnUnfieldedSuspendedTeammateStillServes_Away	Passed	1
coverage	ASuspendedPlayerPressedInByTheExtremisBackFill_IsExemptFromServing_WhileAnUnfieldedSuspendedTeammateStillServes_Home	Passed	1
coverage	ATackleFoulIsGivenAsASlideTackleAndNotJudgedTwice	NotExecuted	1
coverage	ATackleFoulIsPublishedAsASlideTackle	NotExecuted	1
coverage	AThrowInsideTheServeAndCommitBlock_LeavesTheFixturePlayed_AndDoesNotDoubleServeOnRetry	Passed	1
coverage	AWholeSeason_PlaysWithTheCareerWired	Passed	1
coverage	AWiredTallyThatDrainsToZero_SavesOverItsOwnPopulatedFile	Passed	1
coverage	AbandonedZoneCenter_DefendingX0	Passed	1
coverage	AbsentKey_ReturnsFallback	Passed	1
coverage	AccessorsGuardTheirIndex	Passed	1
coverage	Accessors_OutOfRangeIndex_AnswerTheMachineDefault	Passed	1
coverage	AccountingSurface_UsesIntegerFieldsOnly	Passed	1
coverage	AccrueDailyRevenue_BalanceOverflow_FailsLoud	Passed	1
coverage	AccrueDailyRevenue_ComponentSumOverflow_FailsLoud	Passed	1
coverage	AccrueDailyRevenue_DeepOff_IgnoresOtherwiseInvalidRevenueInputs	Passed	1
coverage	AccrueDailyRevenue_DeepOff_IncoherentPriorStillFailsLoud	Passed	1
coverage	AccrueDailyRevenue_DeepOff_IsExactIdentity	Passed	1
coverage	AccrueDailyRevenue_EnabledNegativeComponent_FailsLoud(-1L,0L)	Passed	1
coverage	AccrueDailyRevenue_EnabledNegativeComponent_FailsLoud(0L,-1L)	Passed	1
coverage	AccrueDailyRevenue_Enabled_AccruesBothComponentsOnly	Passed	1
coverage	AccrueDailyRevenue_SeasonAccumulatorOverflow_FailsLoud	Passed	1
coverage	AccuracyCoeff_Roll_IsAlwaysOne	Passed	1
coverage	AccuracyCoeff_Throw_ScalesWithThrowingAttr	Passed	1
coverage	AchievedNormal_DegenerateAim_FallsBackToTheGeometricNormal	Passed	1
coverage	AchievedNormal_FullAuthority_IsTheAimNormal	Passed	1
coverage	AchievedNormal_IsMonotoneInAuthority_AcrossTheWholeRange	Passed	1
coverage	AchievedNormal_ZeroAuthority_IsTheGeometricNormal	Passed	1
coverage	ActionOrdinal_IsAFixedRadixBijection_TTMDDET009	Passed	1
coverage	ActiveLayers_MaskReflectsLayerBits	Passed	1
coverage	AddBan_NearIntMaxValue_ThrowsOverflowException_EntryUnmodified	Passed	1
coverage	AddBan_NegativeMatches_Throws	Passed	1
coverage	AddYellow_AtIntMaxValue_ThrowsOverflowException_EntryUnmodified	Passed	1
