mode	seed	erEpisodes	erTicks	erMovingEpisodes	erSlowEpisodes	erMovingTicks	erSlowTicks	erPostAirborne	erPostRolling	erPostOther	rollingPhysicsEntries	rollingHeightCrosses	movingRollingHeightCrosses	movingCrossPostAirborne	movingCrossPostRolling	movingCrossPostOther	erMeanZ	erMeanSpeed	erMaxZ	erMaxSpeed	distanceProxyM	meanZ	maxZ	meanSpeed	maxSpeed	stateStationary	stateRolling	stateAirborne	stateBouncing	stateControlled	stateOut	finalThirdTicks	possessedTicks	possessionChanges	homeGoals	awayGoals	actionPass	actionShoot	actionDribble	actionHold	actionMove	actionPress	actionIntercept	actionSave	trajectoryHash
v210	0x0F1E2D3C4B5A6978	0	0	0	0	0	0	0	0	0	172800	1432	1427	1427	0	0	0.000000	0.000000	0.000000	0.000000	22511.597154	0.220268	3.025400	4.168815	23.082212	45963	172802	74870	4348	26017	0	94973	27603	2533	6	1	1297	20	956	534	1010007	117831	53082	467	0x1356FED9D0ECC6CB
v210	0x00000000D1A6D05E	0	0	0	0	0	0	0	0	0	174001	1306	1302	1302	0	0	0.000000	0.000000	0.000000	0.000000	22215.110361	0.214496	2.895933	4.113910	26.052742	45508	174001	70209	4086	30196	0	113473	32114	2434	8	5	1208	36	1923	500	1035758	91823	52547	625	0x2035CE37F9821B80
v210	0x5EED000000000003	0	0	0	0	0	0	0	0	0	178182	1399	1395	1395	0	0	0.000000	0.000000	0.000000	0.000000	22848.734525	0.218025	4.572077	4.231247	25.242619	40438	178185	74410	4361	26606	0	94032	28246	2592	3	1	1315	22	1120	401	1007222	119483	54203	366	0x0D10B42BA21F052E
v210	0x5EED000000000004	0	0	0	0	0	0	0	0	0	173716	1457	1456	1456	0	0	0.000000	0.000000	0.000000	0.000000	22977.627195	0.220843	4.052071	4.255116	26.155577	41491	173716	74276	4397	30120	0	93276	31434	2609	5	2	1295	31	1569	539	1050514	76324	53506	409	0x2CC36FAF4D760EAA
v210	0x00000000D1A6D05F	0	0	0	0	0	0	0	0	0	170912	1612	1603	1603	0	0	0.000000	0.000000	0.000000	0.000000	23030.823580	0.227188	3.169173	4.264968	24.394867	42957	170915	76993	4558	28577	0	109077	29937	2492	2	4	1237	26	1577	431	1010130	116575	53884	491	0x08D645985D0DCF95
v210	0x1A2B3C4D5E6F7081	0	0	0	0	0	0	0	0	0	175806	1358	1355	1355	0	0	0.000000	0.000000	0.000000	0.000000	22645.881343	0.217431	2.854888	4.193682	23.118179	44825	175808	72590	4200	26577	0	98535	28009	2481	6	4	1256	28	1209	413	1045962	81243	53832	343	0x3FD489F2AAEEF522
narrow	0x0F1E2D3C4B5A6978	489	71768	489	0	71768	0	322	71444	2	182957	494	489	0	489	0	0.477812	3.620526	1.215738	11.628025	22627.030759	0.310249	3.303606	4.190191	26.955595	42745	182960	73437	3317	21541	0	100045	22786	2282	3	3	1135	29	575	447	1003921	125194	52750	519	0x9E1FFCBF4871A0E7
narrow	0x00000000D1A6D05E	498	68452	498	0	68452	0	330	68119	3	185104	498	498	0	498	0	0.481074	3.526939	1.402340	15.776402	22652.507758	0.300267	2.802354	4.194909	25.850542	37850	185105	71278	3280	26487	0	116601	27895	2389	3	4	1181	39	1303	454	1012500	116977	51270	726	0x096945D210CF7540
narrow	0x5EED000000000003	450	63211	450	0	63211	0	276	62930	5	187460	450	450	0	450	0	0.469097	3.542405	1.310339	18.468596	22868.359138	0.286704	3.037931	4.234882	24.935452	37123	187462	68709	3193	27513	0	115569	29242	2456	5	4	1240	29	1323	501	1034936	92231	53475	560	0x48F20E7F95F3569C
narrow	0x5EED000000000004	493	68983	493	0	68983	0	321	68660	2	184177	494	494	0	494	0	0.511855	3.624340	1.489096	17.738747	23044.187925	0.312981	3.771661	4.267442	26.155577	38174	184179	72945	3335	25367	0	104267	26795	2408	4	4	1197	27	1130	458	1050697	76126	54346	478	0x173695DB5E89ABED
narrow	0x00000000D1A6D05F	501	69889	501	0	69889	0	335	69551	3	182827	503	502	0	502	0	0.466307	3.667846	1.311650	15.932641	23170.028444	0.310196	3.132678	4.290746	26.365242	38963	182827	73097	3313	25800	0	121064	28704	2367	3	4	1173	35	1209	667	1013746	113881	53158	580	0x9641C876DF4DB23F
narrow	0x1A2B3C4D5E6F7081	446	61053	446	0	61053	0	296	60751	6	185577	450	450	0	450	0	0.485966	3.500173	1.214981	19.590105	22950.812157	0.291809	4.551167	4.250151	27.293518	40360	185578	70546	3283	24233	0	99442	26841	2474	6	4	1283	20	682	635	1049551	78862	52823	302	0xDEE68169267F504F
