mode	seed	originalRowSha256	supplementProjectedRowSha256	trajectoryHashEqual	rowEqual
v210	0x0F1E2D3C4B5A6978	afd979cedef48a30d55ad9ce614a512512271e8f926d29dc166ac4181515d4ad	afd979cedef48a30d55ad9ce614a512512271e8f926d29dc166ac4181515d4ad	true	true
v210	0x00000000D1A6D05E	63a7bf06603797d7ff554eea6a83bf7e3f861c574d8959e14f61f0c49274c85d	63a7bf06603797d7ff554eea6a83bf7e3f861c574d8959e14f61f0c49274c85d	true	true
v210	0x5EED000000000003	26179f981509ef35c1282e4efd888976921e07fc8fee5603a1f6f6ed3c93ff6b	26179f981509ef35c1282e4efd888976921e07fc8fee5603a1f6f6ed3c93ff6b	true	true
v210	0x5EED000000000004	ec2b39a12aeff3f2e9b57a9c3c793e578aa8fc7cef79fdd0c6f51d4fd5969eab	ec2b39a12aeff3f2e9b57a9c3c793e578aa8fc7cef79fdd0c6f51d4fd5969eab	true	true
v210	0x00000000D1A6D05F	4e69b3e28add4bc11c8f7c5dfd2451664492f4ae265b321eb96f4216b97684ae	4e69b3e28add4bc11c8f7c5dfd2451664492f4ae265b321eb96f4216b97684ae	true	true
v210	0x1A2B3C4D5E6F7081	e1357c1e1e6cd8612de843fb7f0f14c5bf00ca52d7981ff2011e2070c8b7d5b1	e1357c1e1e6cd8612de843fb7f0f14c5bf00ca52d7981ff2011e2070c8b7d5b1	true	true
narrow	0x0F1E2D3C4B5A6978	5333a84e65276c64335bc467d443fede701a8b06f484c8c0137e6b019eb1340d	5333a84e65276c64335bc467d443fede701a8b06f484c8c0137e6b019eb1340d	true	true
narrow	0x00000000D1A6D05E	095230afbfd61d704ab76baaf2b83b4359e5df5b1d9de569c1cd139c711b3e20	095230afbfd61d704ab76baaf2b83b4359e5df5b1d9de569c1cd139c711b3e20	true	true
narrow	0x5EED000000000003	3ecfcd09b898a8f7dd8ef5c577934eea83932f186dc4f1f81b77932b0ec4b634	3ecfcd09b898a8f7dd8ef5c577934eea83932f186dc4f1f81b77932b0ec4b634	true	true
narrow	0x5EED000000000004	cef97a623b87efa0e8ee8ec37b1d11dbc5b1068b5cf6c5bf8154a71b1ea26551	cef97a623b87efa0e8ee8ec37b1d11dbc5b1068b5cf6c5bf8154a71b1ea26551	true	true
narrow	0x00000000D1A6D05F	3dd1e06a04e283bd15a310c0287e194e08c67faf41f11c7e07ccb7502165ea31	3dd1e06a04e283bd15a310c0287e194e08c67faf41f11c7e07ccb7502165ea31	true	true
narrow	0x1A2B3C4D5E6F7081	532a92ee4dfea8dc7bc002c04a370c2df7380f8d782213c290ecceb3bd99d64e	532a92ee4dfea8dc7bc002c04a370c2df7380f8d782213c290ecceb3bd99d64e	true	true
